GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring MVC Project,HSL,Application,5,3,0,0,2,2,1,1,1,1
Spring MVC Project,HSL.config,AspectConfig,0,3,0,0,0,2,0,1,0,1
Spring MVC Project,HSL.config,WebConfiguration,0,24,0,0,0,7,0,4,0,4
Spring MVC Project,HSL.config,PersistenceConfig,0,3,0,0,0,2,0,1,0,1
Spring MVC Project,HSL.config,ServiceConfig,0,3,0,0,0,2,0,1,0,1
Spring MVC Project,HSL.config,CacheConfig,0,3,0,0,0,2,0,1,0,1
Spring MVC Project,HSL.model.persistence,DefaultExampleEntity,52,20,6,0,13,8,8,3,5,3
Spring MVC Project,HSL.controller.report,ReportController,0,40,0,0,0,11,0,2,0,2
Spring MVC Project,HSL.controller.entity,ExampleEntityRestController,0,14,0,0,0,4,0,2,0,2
Spring MVC Project,HSL.controller.entity,ExampleEntityListViewController,0,22,0,0,0,8,0,3,0,3
Spring MVC Project,HSL.controller.entity,ExampleEntityFormController,0,52,0,2,0,17,0,6,0,5
Spring MVC Project,HSL.service,DefaultExampleEntityService,10,41,0,2,3,10,2,5,2,4
Spring MVC Project,HSL.service,DefaultExampleEntityReportService,22,123,0,0,7,32,1,5,1,5
Spring MVC Project,HSL.model.form,ExampleEntityForm,33,22,6,0,9,6,5,4,2,4
Spring MVC Project,HSL.controller,GlobalBindingInitializer,9,3,0,0,2,2,1,1,1,1
Spring MVC Project,HSL.controller.error,GlobalExceptionHandler,0,34,0,0,0,10,0,3,0,3
Spring MVC Project,HSL.controller.error,ErrorController,2,3,0,0,1,2,1,1,1,1
Spring MVC Project,HSL.controller.exception,RuntimeExceptionController,5,3,0,0,1,2,1,1,1,1
